latency,packet_loss,congestion,active_users,traffic_type,decision
36,0.73,2,10,NORMAL,LOW
147,0.73,8,125,NORMAL,HIGH
112,4.32,3,46,EMERGENCY,HIGH
100,3.71,7,306,NORMAL,LOW
101,4.53,8,382,EMERGENCY,HIGH
51,2.69,5,67,RURAL,MEDIUM
46,3.66,5,452,EMERGENCY,HIGH
51,1.47,3,18,EMERGENCY,HIGH
121,3.25,5,465,EMERGENCY,HIGH
69,2.36,7,405,NORMAL,LOW
71,0.18,8,351,RURAL,HIGH
146,2.01,8,35,EMERGENCY,HIGH
94,3.02,10,442,RURAL,HIGH
138,4.3,10,387,NORMAL,HIGH
145,1.15,6,470,EMERGENCY,HIGH
45,3.8,4,159,NORMAL,LOW
112,1.87,8,324,EMERGENCY,HIGH
112,3.08,6,450,EMERGENCY,HIGH
68,0.19,7,52,RURAL,MEDIUM
108,0.65,7,111,RURAL,MEDIUM
138,1.29,2,393,RURAL,MEDIUM
113,1.26,3,476,NORMAL,LOW
150,4.24,1,276,EMERGENCY,HIGH
145,0.23,7,49,EMERGENCY,HIGH
89,2.48,8,41,RURAL,HIGH
28,3.75,8,479,EMERGENCY,HIGH
130,3.52,8,348,NORMAL,HIGH
85,4.2,6,134,RURAL,MEDIUM
139,1.49,5,332,NORMAL,LOW
52,0.37,10,379,NORMAL,HIGH
132,2.57,9,399,NORMAL,HIGH
95,0.88,6,401,RURAL,MEDIUM
68,1.25,5,424,EMERGENCY,HIGH
49,0.08,7,97,RURAL,MEDIUM
32,4.65,10,175,EMERGENCY,HIGH
136,2.74,10,139,NORMAL,HIGH
120,0.88,10,94,RURAL,HIGH
133,0.86,4,12,RURAL,MEDIUM
68,3.39,10,322,RURAL,HIGH
51,3.55,10,458,NORMAL,HIGH
149,4.92,7,218,NORMAL,LOW
148,4.7,7,470,NORMAL,LOW
150,1.14,10,17,RURAL,HIGH
93,1.22,8,101,EMERGENCY,HIGH
90,4.0,4,79,EMERGENCY,HIGH
81,3.68,3,377,EMERGENCY,HIGH
63,3.24,9,430,EMERGENCY,HIGH
101,2.83,1,127,RURAL,MEDIUM
89,1.18,3,112,NORMAL,LOW
136,0.23,4,475,RURAL,MEDIUM
22,4.51,2,360,RURAL,MEDIUM
61,1.77,3,324,RURAL,MEDIUM
75,4.74,10,437,RURAL,HIGH
33,0.72,5,293,NORMAL,LOW
94,2.86,8,129,NORMAL,HIGH
116,0.54,3,22,EMERGENCY,HIGH
136,3.03,6,402,EMERGENCY,HIGH
116,1.14,2,96,NORMAL,LOW
135,1.86,1,160,RURAL,MEDIUM
49,2.16,9,308,EMERGENCY,HIGH
74,4.7,3,123,RURAL,MEDIUM
67,0.04,7,389,EMERGENCY,HIGH
141,1.76,7,497,NORMAL,LOW
134,0.14,5,94,RURAL,MEDIUM
29,3.19,9,29,NORMAL,HIGH
130,3.04,10,329,EMERGENCY,HIGH
50,1.12,1,341,EMERGENCY,HIGH
58,4.62,7,389,RURAL,MEDIUM
29,3.11,2,46,EMERGENCY,HIGH
42,1.18,7,246,EMERGENCY,HIGH
133,0.17,5,132,NORMAL,LOW
83,0.58,1,19,RURAL,MEDIUM
78,2.09,2,229,RURAL,MEDIUM
72,2.88,10,497,EMERGENCY,HIGH
48,4.89,1,243,RURAL,MEDIUM
30,3.55,7,430,RURAL,MEDIUM
137,4.61,6,358,EMERGENCY,HIGH
100,2.59,5,176,EMERGENCY,HIGH
133,0.03,7,245,NORMAL,LOW
117,0.48,3,433,NORMAL,LOW
37,1.91,4,469,RURAL,MEDIUM
120,4.17,3,364,RURAL,MEDIUM
125,3.42,3,365,NORMAL,LOW
96,3.69,2,322,EMERGENCY,HIGH
58,4.11,6,311,EMERGENCY,HIGH
123,4.59,4,73,RURAL,MEDIUM
67,4.56,7,95,RURAL,MEDIUM
145,2.82,5,422,EMERGENCY,HIGH
102,3.65,1,251,RURAL,MEDIUM
43,1.0,3,269,EMERGENCY,HIGH
39,2.77,10,118,RURAL,HIGH
120,0.3,10,216,EMERGENCY,HIGH
143,1.65,3,446,EMERGENCY,HIGH
20,0.97,3,156,NORMAL,LOW
125,2.81,3,252,EMERGENCY,HIGH
108,4.52,10,430,NORMAL,HIGH
125,1.77,6,437,EMERGENCY,HIGH
76,2.94,6,176,NORMAL,LOW
66,3.19,9,39,RURAL,HIGH
131,0.79,5,259,RURAL,MEDIUM
48,1.98,2,245,RURAL,MEDIUM
80,2.02,10,281,EMERGENCY,HIGH
118,2.73,2,380,RURAL,MEDIUM
38,4.15,7,150,NORMAL,LOW
99,3.07,7,449,NORMAL,LOW
138,0.71,6,494,EMERGENCY,HIGH
56,0.27,10,339,NORMAL,HIGH
79,3.98,1,170,RURAL,MEDIUM
48,4.06,5,228,EMERGENCY,HIGH
94,3.24,4,424,NORMAL,LOW
74,4.68,3,386,NORMAL,LOW
30,1.35,2,255,EMERGENCY,HIGH
148,0.88,7,47,NORMAL,LOW
102,1.92,2,83,NORMAL,LOW
37,0.33,9,39,RURAL,HIGH
22,0.16,10,196,NORMAL,HIGH
114,2.28,3,354,RURAL,MEDIUM
64,1.41,6,183,NORMAL,LOW
72,4.42,1,458,RURAL,MEDIUM
144,1.35,3,467,NORMAL,LOW
83,4.06,2,256,EMERGENCY,HIGH
36,0.53,2,318,RURAL,MEDIUM
118,4.93,10,317,EMERGENCY,HIGH
66,1.0,3,63,RURAL,MEDIUM
37,0.7,7,116,RURAL,MEDIUM
106,2.58,6,496,EMERGENCY,HIGH
150,4.08,10,122,EMERGENCY,HIGH
118,1.15,8,445,RURAL,HIGH
109,3.66,2,403,RURAL,MEDIUM
62,1.95,5,492,EMERGENCY,HIGH
78,0.17,1,230,EMERGENCY,HIGH
87,4.39,5,247,RURAL,MEDIUM
72,2.78,8,196,EMERGENCY,HIGH
144,1.93,9,298,EMERGENCY,HIGH
77,3.58,5,70,EMERGENCY,HIGH
77,1.92,2,265,NORMAL,LOW
138,1.24,8,498,RURAL,HIGH
78,2.66,10,129,NORMAL,HIGH
80,0.47,9,369,RURAL,HIGH
88,3.62,7,301,NORMAL,LOW
27,1.7,10,171,NORMAL,HIGH
135,4.39,8,212,EMERGENCY,HIGH
70,2.33,9,36,EMERGENCY,HIGH
67,1.11,1,467,EMERGENCY,HIGH
24,2.21,8,11,EMERGENCY,HIGH
75,1.79,6,481,EMERGENCY,HIGH
40,0.45,4,50,EMERGENCY,HIGH
36,4.52,3,127,EMERGENCY,HIGH
142,3.95,1,358,NORMAL,LOW
147,0.98,6,454,NORMAL,LOW
121,2.14,7,221,EMERGENCY,HIGH
59,0.02,2,71,EMERGENCY,HIGH
101,2.52,4,65,RURAL,MEDIUM
103,0.61,10,491,EMERGENCY,HIGH
131,0.64,10,348,RURAL,HIGH
124,2.05,1,433,RURAL,MEDIUM
135,2.4,5,32,RURAL,MEDIUM
22,0.16,5,75,RURAL,MEDIUM
43,2.85,9,416,RURAL,HIGH
127,1.2,2,280,EMERGENCY,HIGH
138,3.22,8,204,RURAL,HIGH
44,2.3,1,360,EMERGENCY,HIGH
142,0.84,10,425,RURAL,HIGH
38,2.01,4,279,NORMAL,LOW
68,0.38,8,129,RURAL,HIGH
35,3.58,9,59,RURAL,HIGH
43,2.53,8,265,EMERGENCY,HIGH
51,1.35,9,159,EMERGENCY,HIGH
41,0.8,1,166,NORMAL,LOW
119,1.08,10,443,RURAL,HIGH
135,1.54,9,484,EMERGENCY,HIGH
31,4.49,6,483,RURAL,MEDIUM
61,2.84,9,18,EMERGENCY,HIGH
89,3.0,4,58,NORMAL,LOW
119,4.03,5,493,EMERGENCY,HIGH
38,3.35,9,238,NORMAL,HIGH
124,0.59,5,148,EMERGENCY,HIGH
104,3.65,3,354,RURAL,MEDIUM
33,3.8,2,345,RURAL,MEDIUM
85,1.04,4,318,EMERGENCY,HIGH
30,0.69,5,456,EMERGENCY,HIGH
103,3.97,8,400,EMERGENCY,HIGH
96,2.47,7,145,RURAL,MEDIUM
106,3.1,10,148,NORMAL,HIGH
48,0.52,2,238,NORMAL,LOW
109,4.3,5,89,RURAL,MEDIUM
98,0.9,1,162,RURAL,MEDIUM
131,3.44,6,43,NORMAL,LOW
57,1.85,4,457,EMERGENCY,HIGH
23,2.6,4,99,RURAL,MEDIUM
28,4.95,6,425,EMERGENCY,HIGH
136,1.32,1,191,NORMAL,LOW
88,2.47,7,497,EMERGENCY,HIGH
55,3.87,6,448,NORMAL,LOW
146,4.79,6,383,EMERGENCY,HIGH
122,1.19,3,88,NORMAL,LOW
130,3.27,8,102,RURAL,HIGH
36,1.09,5,283,NORMAL,LOW
103,3.54,10,56,EMERGENCY,HIGH
99,1.45,1,197,RURAL,MEDIUM
32,2.71,3,285,EMERGENCY,HIGH
36,1.45,5,22,NORMAL,LOW
110,1.61,1,423,RURAL,MEDIUM
102,4.19,2,243,NORMAL,LOW
97,2.71,7,315,RURAL,MEDIUM
77,0.77,8,197,EMERGENCY,HIGH
61,3.21,3,50,EMERGENCY,HIGH
41,3.65,5,120,EMERGENCY,HIGH
45,4.1,10,82,EMERGENCY,HIGH
68,1.95,5,197,NORMAL,LOW
133,4.93,5,74,RURAL,MEDIUM
55,2.05,4,302,NORMAL,LOW
130,2.1,6,223,RURAL,MEDIUM
52,1.65,7,260,RURAL,MEDIUM
51,3.5,9,378,RURAL,HIGH
80,2.37,3,37,NORMAL,LOW
137,0.37,10,10,NORMAL,HIGH
107,3.14,3,351,RURAL,MEDIUM
137,2.5,6,182,NORMAL,LOW
81,3.62,7,255,NORMAL,LOW
128,1.92,8,143,NORMAL,HIGH
87,1.09,10,289,EMERGENCY,HIGH
91,0.5,10,470,NORMAL,HIGH
132,1.17,1,296,RURAL,MEDIUM
74,3.19,4,256,RURAL,MEDIUM
39,2.68,6,483,EMERGENCY,HIGH
93,3.99,8,149,EMERGENCY,HIGH
113,1.2,7,404,EMERGENCY,HIGH
115,4.92,8,474,EMERGENCY,HIGH
141,1.51,7,74,EMERGENCY,HIGH
130,2.53,1,405,RURAL,MEDIUM
55,0.72,4,499,RURAL,MEDIUM
132,4.15,4,317,NORMAL,LOW
20,3.94,9,473,RURAL,HIGH
65,1.64,6,157,EMERGENCY,HIGH
105,2.54,6,260,RURAL,MEDIUM
81,0.28,7,183,RURAL,MEDIUM
112,1.46,9,492,NORMAL,HIGH
141,2.96,2,132,NORMAL,LOW
114,0.03,6,252,NORMAL,LOW
93,4.84,5,357,NORMAL,LOW
58,4.66,5,125,RURAL,MEDIUM
139,2.47,9,82,NORMAL,HIGH
130,1.5,1,233,RURAL,MEDIUM
85,1.26,10,318,RURAL,HIGH
40,0.12,7,496,RURAL,MEDIUM
54,4.67,9,332,EMERGENCY,HIGH
79,2.9,8,76,EMERGENCY,HIGH
43,2.58,4,411,RURAL,MEDIUM
82,3.05,4,496,RURAL,MEDIUM
123,2.72,8,173,NORMAL,HIGH
147,2.01,8,467,NORMAL,HIGH
106,1.13,6,388,EMERGENCY,HIGH
48,0.26,10,314,EMERGENCY,HIGH
106,0.14,5,66,RURAL,MEDIUM
97,0.03,7,78,RURAL,MEDIUM
119,4.37,8,289,NORMAL,HIGH
36,3.64,9,370,RURAL,HIGH
29,1.35,4,248,RURAL,MEDIUM
63,2.1,2,409,RURAL,MEDIUM
34,0.27,5,326,RURAL,MEDIUM
62,3.5,6,354,RURAL,MEDIUM
79,4.49,3,439,NORMAL,LOW
89,0.45,6,476,RURAL,MEDIUM
104,1.52,1,205,NORMAL,LOW
58,4.91,9,329,EMERGENCY,HIGH
84,4.51,5,500,NORMAL,LOW
36,2.42,6,439,EMERGENCY,HIGH
34,0.99,6,29,EMERGENCY,HIGH
116,2.13,2,485,NORMAL,LOW
33,3.85,5,99,NORMAL,LOW
82,2.59,5,426,RURAL,MEDIUM
38,4.12,7,211,RURAL,MEDIUM
147,3.05,2,437,EMERGENCY,HIGH
41,2.01,8,275,EMERGENCY,HIGH
78,3.95,8,239,RURAL,HIGH
90,2.27,1,325,RURAL,MEDIUM
28,0.77,9,472,NORMAL,HIGH
38,2.97,1,486,NORMAL,LOW
86,3.02,10,459,RURAL,HIGH
66,3.71,4,57,EMERGENCY,HIGH
133,3.51,4,256,EMERGENCY,HIGH
141,4.28,6,474,NORMAL,LOW
91,0.05,1,291,NORMAL,LOW
106,1.56,9,133,RURAL,HIGH
98,2.18,10,484,NORMAL,HIGH
47,4.66,5,101,EMERGENCY,HIGH
131,0.37,2,203,NORMAL,LOW
55,2.9,8,375,RURAL,HIGH
125,1.82,1,105,RURAL,MEDIUM
62,1.26,6,69,NORMAL,LOW
68,1.08,2,252,EMERGENCY,HIGH
74,0.53,7,23,RURAL,MEDIUM
131,2.93,4,49,EMERGENCY,HIGH
45,0.6,1,103,NORMAL,LOW
68,4.74,8,322,RURAL,HIGH
71,0.11,5,70,NORMAL,LOW
59,2.02,5,326,RURAL,MEDIUM
146,3.66,5,290,NORMAL,LOW
139,2.62,6,29,NORMAL,LOW
81,1.71,2,354,NORMAL,LOW
60,4.01,4,162,EMERGENCY,HIGH
41,0.1,2,177,RURAL,MEDIUM
89,2.27,8,347,NORMAL,HIGH
54,1.97,9,354,EMERGENCY,HIGH
109,4.74,6,377,RURAL,MEDIUM
58,2.0,9,396,EMERGENCY,HIGH
53,4.25,8,260,EMERGENCY,HIGH
26,4.91,4,232,RURAL,MEDIUM
82,3.96,2,427,NORMAL,LOW
51,4.55,5,420,RURAL,MEDIUM
117,2.37,2,126,EMERGENCY,HIGH
77,1.13,2,81,NORMAL,LOW
113,2.46,6,16,RURAL,MEDIUM
84,1.29,10,441,EMERGENCY,HIGH
77,0.6,6,71,NORMAL,LOW
76,1.51,6,186,EMERGENCY,HIGH
97,4.1,10,16,EMERGENCY,HIGH
99,2.03,2,102,NORMAL,LOW
103,4.04,9,433,RURAL,HIGH
90,4.87,3,208,RURAL,MEDIUM
99,1.21,2,470,EMERGENCY,HIGH
74,0.48,7,84,NORMAL,LOW
128,2.29,10,231,RURAL,HIGH
92,2.58,8,168,EMERGENCY,HIGH
40,4.13,2,339,NORMAL,LOW
28,4.29,8,476,NORMAL,HIGH
57,2.76,4,85,EMERGENCY,HIGH
62,0.42,4,346,NORMAL,LOW
129,1.99,8,270,RURAL,HIGH
62,1.72,5,119,RURAL,MEDIUM
112,4.91,9,251,RURAL,HIGH
125,2.95,1,444,RURAL,MEDIUM
114,0.99,4,248,RURAL,MEDIUM
121,2.82,6,200,RURAL,MEDIUM
145,4.4,9,80,NORMAL,HIGH
138,1.03,3,205,RURAL,MEDIUM
137,2.08,1,51,RURAL,MEDIUM
50,0.34,3,146,RURAL,MEDIUM
126,1.43,3,114,EMERGENCY,HIGH
96,0.29,9,462,RURAL,HIGH
36,4.09,3,254,NORMAL,LOW
93,1.36,1,120,EMERGENCY,HIGH
131,0.72,7,410,EMERGENCY,HIGH
112,2.58,3,67,EMERGENCY,HIGH
65,4.3,2,152,NORMAL,LOW
125,4.46,9,335,NORMAL,HIGH
72,1.19,2,221,NORMAL,LOW
127,1.58,7,207,RURAL,MEDIUM
50,3.38,10,178,EMERGENCY,HIGH
55,1.17,2,168,RURAL,MEDIUM
34,3.65,3,39,NORMAL,LOW
142,0.36,3,36,NORMAL,LOW
125,2.64,9,421,RURAL,HIGH
25,3.79,10,175,NORMAL,HIGH
91,0.16,3,137,NORMAL,LOW
73,0.07,4,86,RURAL,MEDIUM
50,2.8,2,427,EMERGENCY,HIGH
38,0.2,10,219,EMERGENCY,HIGH
68,1.02,9,260,NORMAL,HIGH
150,3.88,2,78,EMERGENCY,HIGH
24,2.54,9,227,NORMAL,HIGH
47,0.59,6,277,RURAL,MEDIUM
144,3.03,10,197,EMERGENCY,HIGH
34,1.89,8,461,NORMAL,HIGH
52,1.37,1,402,NORMAL,LOW
37,3.43,7,36,RURAL,MEDIUM
98,2.92,6,454,RURAL,MEDIUM
95,2.85,3,421,RURAL,MEDIUM
84,4.07,1,63,NORMAL,LOW
66,1.41,9,150,RURAL,HIGH
112,2.09,7,74,EMERGENCY,HIGH
148,4.95,3,25,RURAL,MEDIUM
139,1.28,2,33,NORMAL,LOW
100,4.49,10,445,EMERGENCY,HIGH
35,4.6,7,311,EMERGENCY,HIGH
150,2.63,10,84,NORMAL,HIGH
104,1.26,9,491,RURAL,HIGH
49,4.79,10,27,RURAL,HIGH
131,2.64,9,391,EMERGENCY,HIGH
74,3.47,2,338,NORMAL,LOW
106,2.68,10,231,RURAL,HIGH
93,2.91,3,250,RURAL,MEDIUM
122,1.04,3,11,EMERGENCY,HIGH
135,2.94,3,51,NORMAL,LOW
93,0.46,2,327,NORMAL,LOW
102,4.37,10,112,RURAL,HIGH
28,3.6,10,170,EMERGENCY,HIGH
146,4.4,1,29,EMERGENCY,HIGH
111,0.82,4,176,NORMAL,LOW
55,1.25,8,359,NORMAL,HIGH
98,4.31,10,118,EMERGENCY,HIGH
49,4.33,4,477,RURAL,MEDIUM
131,0.05,4,205,EMERGENCY,HIGH
128,2.34,8,32,EMERGENCY,HIGH
130,0.01,9,322,EMERGENCY,HIGH
26,4.65,7,331,RURAL,MEDIUM
86,1.09,9,69,EMERGENCY,HIGH
107,2.43,5,252,EMERGENCY,HIGH
130,1.87,3,190,NORMAL,LOW
80,3.49,9,412,RURAL,HIGH
20,2.32,2,356,EMERGENCY,HIGH
137,1.48,3,77,RURAL,MEDIUM
53,2.35,8,125,RURAL,HIGH
44,3.73,6,229,RURAL,MEDIUM
132,4.83,9,143,EMERGENCY,HIGH
23,1.34,3,10,RURAL,MEDIUM
119,2.89,1,413,RURAL,MEDIUM
92,0.58,2,229,EMERGENCY,HIGH
99,0.94,6,461,NORMAL,LOW
106,1.64,9,191,RURAL,HIGH
22,4.4,2,162,RURAL,MEDIUM
41,2.19,8,50,EMERGENCY,HIGH
93,3.6,9,255,RURAL,HIGH
145,0.83,7,167,EMERGENCY,HIGH
95,1.46,8,197,NORMAL,HIGH
86,0.84,1,348,NORMAL,LOW
149,4.44,4,293,EMERGENCY,HIGH
48,4.18,10,233,NORMAL,HIGH
71,4.28,3,208,NORMAL,LOW
119,1.12,7,137,RURAL,MEDIUM
57,4.35,5,226,NORMAL,LOW
84,1.06,7,257,EMERGENCY,HIGH
45,2.83,10,74,RURAL,HIGH
31,3.35,10,50,EMERGENCY,HIGH
49,3.96,5,215,EMERGENCY,HIGH
110,3.95,5,324,RURAL,MEDIUM
100,1.72,2,26,NORMAL,LOW
82,1.04,5,195,NORMAL,LOW
59,2.95,4,162,EMERGENCY,HIGH
103,0.27,3,288,EMERGENCY,HIGH
34,4.41,3,361,RURAL,MEDIUM
114,1.84,5,409,RURAL,MEDIUM
91,1.01,7,269,NORMAL,LOW
101,0.45,2,120,RURAL,MEDIUM
111,2.07,1,225,RURAL,MEDIUM
35,3.53,3,10,EMERGENCY,HIGH
117,3.62,10,215,EMERGENCY,HIGH
117,1.79,8,340,NORMAL,HIGH
76,3.33,4,426,NORMAL,LOW
64,1.15,5,92,RURAL,MEDIUM
73,2.73,9,182,NORMAL,HIGH
46,1.65,6,186,RURAL,MEDIUM
149,3.85,1,302,NORMAL,LOW
90,2.82,4,35,RURAL,MEDIUM
51,0.2,9,368,RURAL,HIGH
122,2.53,7,216,EMERGENCY,HIGH
